date debut;date fin;numéro adhérent;contrat;formule;civilité souscripteur;nom;prénom souscripteur;adresse;code postal;ville;adresse mail;téléphone 5;téléphone 2;date souscription;date effet;statut;date dernier statut;périodicité;date début période;date fin période;date dernier avenant;prime ttc;prime cie;taxe;commission
01/02/2019;28/02/2019;A541103;TROPJA1703205;Essentielle;Madame;Nom920;Carina;31 rue anatole france;2700;Bordeaux;mail920@yopmail.com;06 55 52 55 51;;06/10/2017;01/12/2017;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/12/2017;15,49;6,83;1,83;6,83
01/02/2019;28/02/2019;A541137;TROPJA1703206;Essentielle;Monsieur;Nom921;Marc-gerard;31 rue anatole france;42700;Fontenay Aux Roses;mail921@yopmail.com;07 83 26 01 55;;06/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541137;TROPJA1703206;Essentielle;Monsieur;Nom922;Marc-gerard;lieu dit la calmette;6800;Toulon;mail922@yopmail.com;06 05 71 12 81;08 26 85 77 87;06/10/2017;01/11/2017;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541336;TROPJA1703217;Confort;Madame;Nom923;Nathalie;46 chemin ANACLET BENARD RAVINE DES CABRIS;51100;Salles;;06 15 02 12 27;06 71 02 72 27;06/10/2017;01/11/2017;CONTRAT;06/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541156;TROPJA1703207;Essentielle;Madame;Nom924;Micheline;1 allee  des briyeres   batiment B N 82;90000;Limoges;mail924@yopmail.com;06 72 75 25 51;;06/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541427;TROPJA1703226;Essentielle;Madame;Nom925;Patricia;7 rue Catulle Mendes;39000;Isserteaux;mail925@yopmail.com;06 86 87 57 08;;06/10/2017;01/11/2017;CONTRAT;11/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A523537;TROPJA1704006;Essentielle;Monsieur;Nom926;Jorge;377 avenue Du 4 septembre;42100;St Geneys Pres St Paulien;mail926@yopmail.com;02 33 13 35 82;;06/10/2017;01/11/2017;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541364;TROPJA1703221;Essentielle;Monsieur;Nom927;Vincent;9 rue DU GUE;50480;Ste Foy De Peyrolieres;mail927@yopmail.com;05 56 50 57 31;06 10 76 50 88;06/10/2017;01/11/2017;CONTRAT;10/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541397;TROPJA1703222;Confort;Monsieur;Nom928;Raymond;12 allee JACQUES PREVERT ETAGE 2 APPT 61;33300;Noisy Le Sec;;06 26 30 57 23;;06/10/2017;01/11/2017;CONTRAT;06/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
01/02/2019;28/02/2019;A541264;TROPJA1703211;Essentielle;Madame;Nom929;Marie-france;6 rue FRENES;92260;Fronton;mail929@yopmail.com;03 51 63 16 25;07 68 21 71 80;06/10/2017;01/11/2017;CONTRAT;06/10/2017;Mensuelle;01/02/2019;28/02/2019;01/11/2017;7,94;3,5;0,94;3,5
